год,строительство,финансы и страхование,образование,ИРЗП % строительство,ИРЗП % финансы и страхование,ИРЗП % образование
2000,2196.17,4352.91,1031.78,,,
2001,3254.6,7493.0,1545.79,148.19,172.14,149.82
2002,4177.73,11512.17,2544.15,128.36,153.64,164.59
2003,5515.4,13895.17,3024.02,132.02,120.7,118.86
2004,6537.23,15557.37,3761.77,118.53,111.96,124.4
2005,8153.28,20253.81,4895.59,124.72,130.19,130.14
2006,9971.74,25583.03,6406.7,122.3,126.31,130.87
2007,12812.55,31178.87,7846.88,128.49,121.87,122.48
2008,16396.54,36963.1,9990.11,127.97,118.55,127.31
2009,16656.43,38945.68,12218.38,101.59,105.36,122.3
2010,19462.86,46074.65,12939.14,116.85,118.3,105.9
2011,22320.45,52581.43,14900.19,114.68,114.12,115.16
2012,24348.47,55356.73,17822.57,109.09,105.28,119.61
2013,26022.92,59495.54,22036.54,106.88,107.48,123.64
2014,26359.55,61570.58,23223.78,101.29,103.49,105.39
2015,26534.41,62074.22,23849.08,100.66,100.82,102.69
2016,30681.34,76189.98,26654.01,115.63,122.74,111.76
2017,32850.08,82817.01,29513.85,107.07,108.7,110.73
2018,36940.63,87340.56,32953.87,112.45,105.46,111.66
2019,41368.17,100599.51,35974.67,111.99,115.18,109.17
2020,42644.17,107406.35,37711.37,103.08,106.77,104.83
2021,47923.42,120143.28,40031.83,112.38,111.86,106.15
2022,54368.75,131019.57,43245.35,113.45,109.05,108.03
2023,64182.09,157424.78,50514.52,118.05,120.15,116.81
