,строительство,финансы и страхование,образование
2000,2639.8,5232.2,1240.2
2001,3859.3,8885.2,1833.0
2002,4806.9,13245.9,2927.3
2003,6176.7,15561.2,3386.6
2004,7304.7,17383.8,4203.4
2005,9042.8,22463.5,5429.7
2006,10869.2,27885.5,6983.3
2007,14333.4,34879.8,8778.3
2008,18574.0,41871.8,11316.8
2009,18122.2,42372.9,13293.6
2010,21171.7,50120.0,14075.2
2011,23682.0,55788.9,15809.1
2012,25950.6,58999.2,18995.3
2013,27701.4,63333.0,23457.9
2014,29354.0,68565.0,25862.0
2015,29960.0,70088.0,26928.0
2016,32332.0,80289.0,28088.0
2017,33677.9,84904.0,30257.6
2018,38518.0,91070.0,34361.0
2019,42629.9,103667.8,37071.9
2020,44738.0,112680.0,39563.0
2021,51944.2,130223.3,43390.5
2022,60849.5,146637.1,48400.2
2023,68944.4,169105.7,54262.7
