год,строительство,финансы и страхование,образование
2000,2196.17,4352.91,1031.78
2001,3254.6,7493.0,1545.79
2002,4177.73,11512.17,2544.15
2003,5515.4,13895.17,3024.02
2004,6537.23,15557.37,3761.77
2005,8153.28,20253.81,4895.59
2006,9971.74,25583.03,6406.7
2007,12812.55,31178.87,7846.88
2008,16396.54,36963.1,9990.11
2009,16656.43,38945.68,12218.38
2010,19462.86,46074.65,12939.14
2011,22320.45,52581.43,14900.19
2012,24348.47,55356.73,17822.57
2013,26022.92,59495.54,22036.54
2014,26359.55,61570.58,23223.78
2015,26534.41,62074.22,23849.08
2016,30681.34,76189.98,26654.01
2017,32850.08,82817.01,29513.85
2018,36940.63,87340.56,32953.87
2019,41368.17,100599.51,35974.67
2020,42644.17,107406.35,37711.37
2021,47923.42,120143.28,40031.83
2022,54368.75,131019.57,43245.35
2023,64182.09,157424.78,50514.52
